Pattern_Type,AppID_Pattern,Application,Usage,Company,Priority,Data_Source
Like,TECHALERT.CLIENT.SERVICE%,TECHALERT.CLIENT.SERVICE,Unknown,Teradata,1262,manual
Like,TERADATA_DATABASE_CHECK%,TERADATA_DATABASE_CHECK,Unknown,Teradata,1263,manual
Like,STATUSANDALERTAPP%,STATUSANDALERTAPP,Unknown,Unknown,1278,manual
Like,QUERYBUILDEREXE%,QUERYBUILDEREXE,Unknown,Unknown,1279,manual
Like,UNIVERSALREPLICATIONNDW.CONSOL%,Universal Replication NDW,ETL,Unknown,1280,manual
Like,MYEVENTSLINEUP%,MY EVENTS LINE UP,Analytics,Unknown,1281,manual
Like,QUERYCHAMELEON%,Nexus,Analytics,Nexus,1287,manual
Like,TVRALLSTREAMSTRACK%,TVR ALL STREAMS TRACK,Analytics,Unknown,1289,manual
Like,WINDOWSFORMSAPPLICATION%,Visual Studio,Application,Microsoft,1290,manual
Like,SOCOSENIORADVANTAGE%,Visual Studio,Application,Microsoft,1298,manual
Like,WORKBENCH.DATACOLLECTOR%,Work Bench,Analytics,Domo,1299,manual
Like,AGINITY.NETEZZAWORKBENCH%,Netezza,Analytic,IBM,1300,manual
Like,ADEPTRA_SELFSERVREPORT%,Adeptra,Analytic,FICO,1303,manual
Like,ACOE_ALT_PRI%,Alteryx Analytics,Analytics,Alteryx,1311,manual
Like,MSREPORTBUILDER%,SQL Server Reporting Services,Analytics,Microsoft,1314,manual
Like,BIBUSTKSERVERMAIN%,Cognos,Analytic,IBM,1327,manual
Like,SALESFORCEWEBAPI%,WEB API,Application,SalesForce,1331,manual
Like,MIPDataAccess%,MIPDataAccess,Unknown,Unknown,1333,manual
Like,MISSINGSSR_AD%,MISSINGSSR_AD,Unknown,Unknown,1335,manual
